season,date,round,home_team,away_team,home_matches_before,away_matches_before,home_avg_goals_for,home_avg_goals_against,away_avg_goals_for,away_avg_goals_against,home_win_rate,away_win_rate,home_home_win_rate,away_away_win_rate,home_recent_points_5,away_recent_points_5,home_days_since_match,away_days_since_match,result,home_has_previous_match,away_has_previous_match,home_days_since_match_capped,away_days_since_match_capped,home_goal_scoring_edge,home_defensive_edge,home_attack_vs_away_defense,away_attack_vs_home_defense,win_rate_edge,venue_win_rate_edge,recent_points_edge,experience_edge,days_since_match_edge,abs_win_rate_gap,abs_venue_win_rate_gap,abs_recent_points_gap,abs_goal_scoring_gap,abs_defensive_gap,combined_recent_points,combined_win_rate,combined_avg_goals_for,combined_avg_goals_against,win_rate_balance,recent_form_balance
2010-11,2010-09-14,Group stage,Barcelona,Panathinaikos,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Benfica,Hapoel Tel Aviv,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Bursaspor,Valencia,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,A,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,FC Copenhagen,Rubin Kazan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Lyon,Schalke 04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Manchester Utd,Rangers,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Twente,Inter,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-14,Group stage,Werder Bremen,Tottenham,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,D,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Arsenal,Braga,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Bayern Munich,Roma,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,CFR Cluj,Basel,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Marseille,Spartak Moscow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,A,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Milan,Auxerre,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,MŠK Žilina,Chelsea,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,A,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Real Madrid,Ajax,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-15,Group stage,Shakhtar D.,Partizan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1,-1,H,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0
2010-11,2010-09-28,Group stage,Ajax,Milan,1,1,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,D,1,1,13,13,-2.0,-2.0,0.0,0.0,-1.0,0.0,-3,0,0,1.0,0.0,3,2.0,2.0,3,1.0,2.0,2.0,0.0,0.8
2010-11,2010-09-28,Group stage,Auxerre,Real Madrid,1,1,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13,-2.0,-2.0,0.0,0.0,-1.0,0.0,-3,0,0,1.0,0.0,3,2.0,2.0,3,1.0,2.0,2.0,0.0,0.8
2010-11,2010-09-28,Group stage,Basel,Bayern Munich,1,1,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13,-1.0,-2.0,1.0,0.0,-1.0,0.0,-3,0,0,1.0,0.0,3,1.0,2.0,3,1.0,3.0,2.0,0.0,0.8
2010-11,2010-09-28,Group stage,Braga,Shakhtar D.,1,1,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13,-1.0,-6.0,0.0,-5.0,-1.0,0.0,-3,0,0,1.0,0.0,3,1.0,6.0,3,1.0,1.0,6.0,0.0,0.8
2010-11,2010-09-28,Group stage,Chelsea,Marseille,1,1,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,0,13,13,H,1,1,13,13,4.0,0.0,3.0,-1.0,1.0,0.0,3,0,0,1.0,0.0,3,4.0,0.0,3,1.0,4.0,2.0,0.0,0.8
2010-11,2010-09-28,Group stage,Partizan,Arsenal,1,1,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0,3,13,13,A,1,1,13,13,-6.0,-1.0,0.0,5.0,-1.0,0.0,-3,0,0,1.0,0.0,3,6.0,1.0,3,1.0,6.0,1.0,0.0,0.8
2010-11,2010-09-28,Group stage,Roma,CFR Cluj,1,1,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0,3,13,13,H,1,1,13,13,-2.0,-1.0,-1.0,0.0,-1.0,0.0,-3,0,0,1.0,0.0,3,2.0,1.0,3,1.0,2.0,3.0,0.0,0.8
2010-11,2010-09-28,Group stage,Spartak Moscow,MŠK Žilina,1,1,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3,0,13,13,H,1,1,13,13,0.0,4.0,-3.0,1.0,1.0,0.0,3,0,0,1.0,0.0,3,0.0,4.0,3,1.0,2.0,4.0,0.0,0.8
2010-11,2010-09-29,Group stage,Hapoel Tel Aviv,Lyon,1,1,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,15,15,A,1,1,15,15,-1.0,-2.0,0.0,-1.0,-1.0,0.0,-3,0,0,1.0,0.0,3,1.0,2.0,3,1.0,1.0,2.0,0.0,0.8
2010-11,2010-09-29,Group stage,Inter,Werder Bremen,1,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,15,15,H,1,1,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,0.0,4.0,4.0,1.0,1.0
2010-11,2010-09-29,Group stage,Panathinaikos,FC Copenhagen,1,1,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0,3,15,15,A,1,1,15,15,0.0,-5.0,1.0,-4.0,-1.0,0.0,-3,0,0,1.0,0.0,3,0.0,5.0,3,1.0,2.0,5.0,0.0,0.8
